# Table 3. Cross-architecture comparison: d-block pretrained vs Ln fine-tuned checkpoints.
# Tests whether failure at CN=10 is specific to the Ln fine-tune or inherent to the architecture.
# All Eu runs use eu_tmma_cis.xyz reference; Fe runs use fe_tmma_substituted.xyz.
# NOTE: Data from Prompt 7 cross-architecture runs on MIT Engaging.
# Re-run cross_arch_analysis.py to regenerate from raw data.
experiment,checkpoint,metal,sampler_flags,n_attempted,valid_rate,valid_rate_ci_lo,valid_rate_ci_hi,mean_bridges,mean_mutation,failure_mode_summary
dblock_eu_r1,d-block pretrained,Eu,"r=1, no proj",200,0.005,0.000,0.020,3.51,1.94,severe context mutation + bridging; comparable to Ln fine-tune baseline
dblock_fe_r1,d-block pretrained,Fe,"r=1, no proj",200,0.890,0.840,0.930,0.02,0.03,matches Jin & Merz 2024 published d-block performance
dblock_eu_r10proj,d-block pretrained,Eu,"r=10, proj",200,0.040,0.016,0.074,0.00,0.91,projection eliminates bridges but context mutation persists
lnft_eu_r10proj,Ln fine-tuned (ep48),Eu,"r=10, proj",500,0.064,0.040,0.094,0.00,0.82,best Ln result; marginally better than d-block on Eu
